Bin	Distance_kb	Avg_R2	SD_R2	SE_R2	N_Pairs	Sum_R2	SumSq_R2	Var_R2
1495000	1495	0.115444193848742	0.22480769867844	6.11943304316996e-05	13495842	1558016.6	861923.6	0.0505385013850963
1496000	1496	0.115419598261287	0.224760318469186	6.12328540433728e-05	13473185	1555069.6	860113.1	0.05051720075837
1497000	1497	0.115105622188466	0.224247400442844	6.11281842443931e-05	13457731	1549060.5	855053.1	0.0502868966053731
1498000	1498	0.115228023544757	0.224476586125777	6.11342507988872e-05	13482577	1553570.7	858398.4	0.0503897377186836
1499000	1499	0.115230069524543	0.224350592799216	6.11178709178345e-05	13474666	1552686.7	857139.1	0.0503331884893597
1500000	1500	0.115353262816198	0.224429553856995	6.11480112012693e-05	13470863	1553908	857757.2	0.0503686246444498
1501000	1501	0.11491457584504	0.224007535265837	6.10269850237334e-05	13473531	1548305.1	854016.2	0.0501793758558753
1502000	1502	0.114889019143668	0.223994723506648	6.10175578464227e-05	13476153	1548262	854025.9	0.0501736361588197
1503000	1503	0.114735892319364	0.22388421320209	6.09636115272669e-05	13486696	1547408.1	853552.3	0.0501241409211187
1504000	1504	0.114496222549734	0.223574217223595	6.08191348991293e-05	13513348	1547227.3	852622.2	0.0499854306071431
1505000	1505	0.11437651853773	0.223388337678552	6.07148242712853e-05	13537283	1548347.3	852636.8	0.0499023494107869
1506000	1506	0.114915223012524	0.224199439116853	6.10322738385349e-05	13494287	1550699	856494.5	0.0502653885003115
1507000	1507	0.115407662166302	0.224806721676258	6.12240854258995e-05	13482610	1555996.5	860958.9	0.0505380621108266
1508000	1508	0.115372569788728	0.224875700094532	6.13312291387395e-05	13443790	1551044.6	858788.1	0.0505690804930061
1509000	1509	0.114818301178673	0.22412496519612	6.10370367058742e-05	13483219	1548120.3	855041.6	0.0502320000241621
1510000	1510	0.114422502707273	0.223658836180786	6.07855413497558e-05	13538531	1549112.6	854495	0.0500232750017435
1511000	1511	0.114614938976548	0.22388400915253	6.08827812854177e-05	13522506	1549881.2	855442.3	0.05012404955421
1512000	1512	0.114615216912861	0.223764577731566	6.0851189735969e-05	13522112	1549839.8	854695.3	0.0500705862473861
1513000	1513	0.114519996043178	0.223631221813101	6.08289006621268e-05	13515899	1547840.7	853201.3	0.0500109233696204
1514000	1514	0.11441201758165	0.22352403187765	6.07675076455555e-05	13530243	1548022.4	853123.8	0.0499629928268407
1515000	1515	0.114088086500395	0.223013850489144	6.05926664863589e-05	13546389	1545481.6	850053.1	0.0497351775099941
1516000	1516	0.114476515212839	0.223459897356164	6.07846943294488e-05	13514834	1547131.1	851964.3	0.0499343257264272
1517000	1517	0.114454087227548	0.223310943477512	6.08476459342854e-05	13468910	1541571.8	848103.8	0.0498677774768167
1518000	1518	0.114239114961312	0.22311274596468	6.07521357861981e-05	13487320	1540779.5	847406.6	0.0497792974119
1519000	1519	0.114276229136487	0.223191935130025	6.08998001716542e-05	13431523	1534903.8	844489.5	0.0498146399070854
1520000	1520	0.114257705551641	0.223174962735244	6.09356732064243e-05	13413673	1532615.5	843208.8	0.0498070639918775
1521000	1521	0.114320765658135	0.223255698073758	6.09982599660132e-05	13395848	1531423.6	842764.2	0.049843106722401
1522000	1522	0.114452020905088	0.223492762926578	6.10679798800615e-05	13393677	1532933.4	844448.3	0.0499490150805557
1523000	1523	0.114328267279254	0.223217973129994	6.0932500798507e-05	13420241	1534312.9	844095.8	0.0498262635282625
1524000	1524	0.114169619700091	0.223279263528366	6.09060255817308e-05	13439288	1534358.4	845174.4	0.0498536295217693
1525000	1525	0.114356748039424	0.22344351495929	6.10038074963767e-05	13415956	1534205.1	845265.2	0.0499270043773623
1526000	1526	0.114132079201026	0.223182323951622	6.09407998170335e-05	13412301	1530773.8	842781.8	0.0498103497244466
1527000	1527	0.113882393911121	0.222814973572145	6.07674227574753e-05	13444576	1531100.5	841841.7	0.0496465124479557
1528000	1528	0.114237349647604	0.223265162358921	6.09109089093477e-05	13435436	1534828.6	845055.4	0.0498473327231553
1529000	1529	0.114245077361805	0.223388221106754	6.09494538096606e-05	13433244	1534682	845679.6	0.0499022973292401
1530000	1530	0.114436538747331	0.223647132362285	6.10406127218886e-05	13424215	1536220.7	847252.7	0.0500180398138735
1531000	1531	0.114261853998136	0.223227455771328	6.10151124251378e-05	13385062	1529402	841736.6	0.0498304970101403
1532000	1532	0.114247239252859	0.2233172473948	6.08856058582875e-05	13452880	1536954.4	846495.9	0.0498705929839905
1533000	1533	0.114310968406565	0.223598696132959	6.0937805706207e-05	13463715	1539050.3	849067.3	0.0499963769123593
1534000	1534	0.114386413910601	0.223598965802302	6.09569497428937e-05	13455292	1539102.6	848769.9	0.0499964975078592
1535000	1535	0.113973716933163	0.223078439018482	6.0786204561595e-05	13468063	1535005.2	845174.8	0.0497639899549228
1536000	1536	0.113983789650038	0.223219006698364	6.08459731523849e-05	13458562	1534057.9	845453.8	0.0498267249514042
1537000	1537	0.114681884641074	0.22408982652172	6.11592470843969e-05	13425177	1539624.6	850729.1	0.0502162503505347
1538000	1538	0.11434325881808	0.223491159147079	6.09970906123038e-05	13424634	1535016.4	846056.4	0.049948298216905
