Chromosome	Bin	Distance_kb	Avg_R2	SD_R2	SE_R2	N_Pairs	Sum_R2	SumSq_R2	Var_R2
4H	937000	937	0.16527367795817	0.272988608727064	0.000183122297212818	2222320	367291	226317	0.0745227804947379
4H	938000	938	0.164666918958379	0.272479661070549	0.000182348778016003	2232865	367679	226324	0.0742451656971211
4H	939000	939	0.165053171572771	0.272722153522045	0.000182626419342428	2230045	368076	226617	0.0743773730217017
4H	940000	940	0.164505665706504	0.272170636688772	0.000182237488528208	2230525	366934	225593	0.0740768554755717
4H	941000	941	0.164537901595833	0.272488644495141	0.00018257729403201	2227426	366496	225689	0.0742500613787994
4H	942000	942	0.164257603486775	0.272201342413265	0.000182105196298923	2234271	366996	225827	0.0740935708115836
4H	943000	943	0.164804672348154	0.272389154220887	0.000183039991725528	2214561	364970	224460	0.0741958513371699
4H	944000	944	0.164848693544291	0.272239927476344	0.000183491542186989	2201261	362875	222965	0.0741145781123253
4H	945000	945	0.165455715700698	0.272846731607664	0.000184083137047517	2196896	363489	223690	0.0744453389489849
4H	946000	946	0.165080571040084	0.272677255734205	0.000184250684213295	2190179	361556	222532	0.0743528857947371
4H	947000	947	0.164749570073478	0.272194458254327	0.000183497786268343	2200376	362511	222749	0.0740898231043664
4H	949000	949	0.165566330159385	0.272858243925505	0.000184357702622806	2190542	362680	223137	0.0744516212781102
4H	950000	950	0.164664602946148	0.272291042167818	0.000183676751240781	2197649	361875	222527	0.0741424116448362
4H	951000	951	0.164833517764377	0.272196587798645	0.000183722165709478	2195039	361816	222272	0.0740909824092256
4H	952000	952	0.164446262055592	0.271919972884329	0.000182691674849788	2215362	364308	223714	0.0739404716534144
4H	953000	953	0.165122544188186	0.272715658210295	0.000183583233284648	2206755	364385	224293	0.0743738302330743
4H	954000	954	0.165118194273979	0.272643440447842	0.000183855912295093	2199049	363103	223420	0.074334445619236
4H	955000	955	0.1653631462966	0.27279819880352	0.000184072849601926	2196360	363197	223510	0.0744188572704447
4H	956000	956	0.16492743454959	0.272710481953568	0.00018395299247187	2197809	362479	223236	0.0743710069673476
4H	957000	957	0.165283917776409	0.272925187024361	0.000183947102725709	2201412	363858	224119	0.0744881577122826
4H	958000	958	0.165472597060345	0.272991417251594	0.000184365219207279	2192502	362799	223428	0.0745243138930336
4H	959000	959	0.165185143297026	0.272584571257517	0.000184078449444932	2192788	362216	222762	0.0743023484876442
4H	961000	961	0.163880860760504	0.271749044306179	0.000183015784067301	2204748	361316	222028	0.0738475430813216
4H	962000	962	0.165363463262667	0.272967407545678	0.000184057513578623	2199452	363709	224028	0.074511205582208
4H	963000	963	0.164476313952508	0.27229073271386	0.000182788729603155	2219049	364981	224556	0.0741422431218506
4H	964000	964	0.164540228950975	0.272229371092841	0.000182915647846901	2214972	364452	224116	0.0741088304856039
4H	965000	965	0.164508411464608	0.272436336200397	0.00018300638355702	2216142	364574	224461	0.0742215572822959
4H	966000	966	0.165284816820517	0.272975848096961	0.000183325164264752	2217197	366469	225788	0.0745158136442553
4H	967000	967	0.165350351500044	0.272909178463634	0.00018406080931532	2198435	363512	223845	0.0744794196896956
4H	968000	968	0.165792807239461	0.273356962482707	0.000184424733226199	2196959	364240	224554	0.074724028937772
4H	969000	969	0.165928427390879	0.273275776518869	0.000184458013505945	2194862	364190	224341	0.074679650031991
4H	970000	970	0.165659969307563	0.273135048959807	0.000184261387097378	2197284	364002	224224	0.0746027549702762
4H	971000	971	0.166011519252054	0.273687314070011	0.000184594095705854	2198233	364932	225241	0.0749047458828566
4H	972000	972	0.16485405904568	0.272655873622566	0.000183355470819092	2211271	364537	224484	0.0743412254208846
4H	973000	973	0.16487852136689	0.2728370571747	0.000183661043468849	2206849	363862	224271	0.0744400597677506
4H	974000	974	0.165240822683474	0.272943887330551	0.000184083004222238	2198464	363276	223810	0.0744983656311127
4H	975000	975	0.164144983524599	0.27201930005504	0.000183384955380713	2200250	361160	222089	0.0739944996024341
4H	976000	976	0.164626702215584	0.272049979723795	0.000183581565542966	2196035	361526	222048	0.0740111914677174
4H	977000	977	0.165434297825922	0.273047954016213	0.000185244166877494	2172645	359430	221444	0.07455518519244
4H	978000	978	0.165636663146005	0.273231743202241	0.000184956012551661	2182355	361478	222799	0.0746555854933356
4H	979000	979	0.165196901435545	0.272546766316567	0.000184016292536765	2193661	362386	222814	0.0742817398296174
4H	980000	980	0.164662855832959	0.27222381371665	0.000183589845540388	2198644	362035	222546	0.0741058047544372
4H	981000	981	0.164574147831265	0.27225616579414	0.000183705602797863	2196396	361470	222293	0.0741234198129265
4H	982000	982	0.164685038549037	0.272154194566783	0.000183246507834466	2205762	363256	223199	0.0740679056202941
4H	983000	983	0.16597748521484	0.273280424808274	0.000184807115379977	2186652	362935	223543	0.0746821905833906
4H	984000	984	0.166428535354695	0.273979085365282	0.000185644246848007	2178070	362493	223825	0.0750645392175966
4H	985000	985	0.165423320271686	0.273156835604037	0.000184630724287723	2188851	362087	223218	0.074614656837211
4H	986000	986	0.165286478993972	0.27285185105219	0.000184242477958053	2193180	362503	223195	0.0744481326226065
4H	987000	987	0.16469910177669	0.272324879977538	0.000183526708111568	2201791	362633	223012	0.0741608402547806
4H	988000	988	0.164759611680231	0.272581361675594	0.000184052823503917	2193347	361375	222507	0.0743005987329212
4H	989000	989	0.164715635550051	0.272517758920635	0.000183623129877219	2202596	362802	223337	0.0742659289271253
4H	990000	990	0.165264158410791	0.273061942180367	0.000184278124630955	2195709	362872	223688	0.0745628242673138
4H	991000	991	0.165229263914807	0.272966031395517	0.000184333698632425	2192844	362322	223256	0.0745104542958183
