trait,gene_file,gene_name,MGmin,epsilon,stage,status,message
fiber,HORVU.MOREX.r3.7HG0729120.vcf.gz,HORVU.MOREX.r3.7HG0729120,3,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
fiber,HORVU.MOREX.r3.7HG0729130.vcf.gz,HORVU.MOREX.r3.7HG0729130,,,gene_stats,no_valid_tests_for_gene,Gene produced zero valid omnibus tests across all MGmin and epsilon values.
fiber,HORVU.MOREX.r3.7HG0729130.vcf.gz,HORVU.MOREX.r3.7HG0729130,2,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
fiber,HORVU.MOREX.r3.7HG0729130.vcf.gz,HORVU.MOREX.r3.7HG0729130,3,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
protein,HORVU.MOREX.r3.3HG0251990.vcf.gz,HORVU.MOREX.r3.3HG0251990,2,,crosshap,crosshap_failed,"CrossHap failed: Assigned data `base::sapply(...)` must be compatible with existing data.
✖ Existing data has 1 row.
✖ Assigned data has 3 rows.
ℹ Row updates require a list value. Do you need `list()` or `as.list()`?
Caused by error in `vectbl_recycle_rhs_rows()`:
! Can't recycle input of size 3 to size 1."
protein,HORVU.MOREX.r3.3HG0251990.vcf.gz,HORVU.MOREX.r3.3HG0251990,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
protein,HORVU.MOREX.r3.3HG0251990.vcf.gz,HORVU.MOREX.r3.3HG0251990,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
protein,HORVU.MOREX.r3.3HG0252000.vcf.gz,HORVU.MOREX.r3.3HG0252000,,,gene_stats,no_valid_tests_for_gene,Gene produced zero valid omnibus tests across all MGmin and epsilon values.
protein,HORVU.MOREX.r3.3HG0252000.vcf.gz,HORVU.MOREX.r3.3HG0252000,2,,crosshap,crosshap_failed,"CrossHap failed: Assigned data `base::sapply(...)` must be compatible with existing data.
✖ Existing data has 1 row.
✖ Assigned data has 3 rows.
ℹ Row updates require a list value. Do you need `list()` or `as.list()`?
Caused by error in `vectbl_recycle_rhs_rows()`:
! Can't recycle input of size 3 to size 1."
protein,HORVU.MOREX.r3.3HG0252000.vcf.gz,HORVU.MOREX.r3.3HG0252000,3,,crosshap,crosshap_failed,"CrossHap failed: Assigned data `base::sapply(...)` must be compatible with existing data.
✖ Existing data has 1 row.
✖ Assigned data has 3 rows.
ℹ Row updates require a list value. Do you need `list()` or `as.list()`?
Caused by error in `vectbl_recycle_rhs_rows()`:
! Can't recycle input of size 3 to size 1."
protein,HORVU.MOREX.r3.3HG0322650.vcf.gz,HORVU.MOREX.r3.3HG0322650,,,gene_stats,no_valid_tests_for_gene,Gene produced zero valid omnibus tests across all MGmin and epsilon values.
protein,HORVU.MOREX.r3.3HG0322650.vcf.gz,HORVU.MOREX.r3.3HG0322650,2,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
protein,HORVU.MOREX.r3.3HG0322650.vcf.gz,HORVU.MOREX.r3.3HG0322650,3,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
