trait,gene_file,gene_name,MGmin,epsilon,stage,status,message
betaglucan,HORVU.MOREX.r3.2HG0112880.vcf.gz,HORVU.MOREX.r3.2HG0112880,,,gene_stats,no_valid_tests_for_gene,Zero valid omnibus tests across MGmin/epsilon.
betaglucan,HORVU.MOREX.r3.2HG0112880.vcf.gz,HORVU.MOREX.r3.2HG0112880,2,,crosshap,crosshap_failed,'x' must be an array of at least two dimensions
betaglucan,HORVU.MOREX.r3.2HG0112880.vcf.gz,HORVU.MOREX.r3.2HG0112880,3,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.2HG0112890.vcf.gz,HORVU.MOREX.r3.2HG0112890,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.2HG0112890.vcf.gz,HORVU.MOREX.r3.2HG0112890,2,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.2HG0112890.vcf.gz,HORVU.MOREX.r3.2HG0112890,2,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.2HG0112890.vcf.gz,HORVU.MOREX.r3.2HG0112890,2,0.5,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.2HG0112890.vcf.gz,HORVU.MOREX.r3.2HG0112890,2,0.6,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.2HG0112890.vcf.gz,HORVU.MOREX.r3.2HG0112890,3,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.2HG0112900.vcf.gz,HORVU.MOREX.r3.2HG0112900,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
