Bin	Sum_R2	SumSq_R2	N_Pairs
2333000	201423	93922.5	2168733
2334000	201295	93931.2	2161301
2335000	200964	93543.2	2166127
2336000	201061	94083.6	2149276
2337000	201275	94417.7	2137402
2338000	200773	93961.9	2143485
2339000	200549	93744.3	2133416
2340000	202485	94699.3	2160406
2341000	202603	94650.7	2161493
2342000	200441	93709.1	2141994
2344000	200681	93328	2168642
2345000	200783	93639.6	2161833
2346000	199987	93155.5	2173318
2347000	199643	92988.2	2158480
2348000	198731	92418.2	2151079
2349000	198057	91710.1	2153094
2350000	199343	92717.9	2160871
2351000	198848	92488	2155792
2352000	197702	91726.1	2154662
2353000	197726	91807.1	2153118
2354000	197641	91639.3	2153658
2355000	197656	91990.7	2144455
2356000	197509	91879.1	2144635
2357000	197667	91910.1	2145767
2358000	197675	91864.6	2129611
2359000	198020	92293.5	2132412
2360000	198325	92331.2	2142522
2361000	198786	92458.3	2152718
2362000	198787	91977.5	2167052
2363000	198032	92076.9	2145087
2364000	198414	92267.5	2149536
2365000	197130	91605.1	2141261
2366000	197638	92140.8	2136754
2367000	197162	91827.4	2136470
2368000	196229	91433.1	2125057
2369000	197113	91870.2	2137867
2370000	197203	91837.1	2136169
2371000	197907	92300.5	2142161
2372000	196902	91880.7	2140486
2373000	196055	91144.5	2135737
2374000	195721	91391.9	2140406
2375000	196158	91232.8	2145964
2376000	197233	91643.6	2153018
