Bin	Sum_R2	SumSq_R2	N_Pairs
749000	111589	50699.8	1356799
750000	111469	50588	1352440
751000	111290	50700.5	1346122
752000	111001	50357.9	1353902
753000	111890	51008.7	1357346
755000	110897	50246.7	1365225
756000	112519	50858.9	1377601
757000	112096	50615.6	1378505
758000	112678	50839.8	1386572
759000	111500	50456.8	1367332
761000	112568	50889.6	1379598
762000	111611	50355.5	1379217
763000	111803	50623.7	1382374
764000	112865	51254.8	1382840
765000	113376	51429.9	1396001
766000	113893	51740.5	1396535
767000	114067	51691.8	1406303
768000	114073	51826.7	1405495
769000	112624	50760.8	1402890
770000	113861	51539.8	1414876
771000	113492	51385.8	1407572
773000	111555	50380.2	1386751
774000	111750	50451.1	1385143
775000	111103	50071.3	1380779
776000	111718	50293.3	1392168
777000	111692	50128.1	1395161
778000	111663	50112.8	1397175
779000	112105	50363.1	1397376
780000	111649	50199.2	1391022
781000	112066	50441.5	1406380
782000	112549	50606.4	1408619
783000	110872	49716.4	1396155
784000	110826	49633.3	1391474
785000	110693	49805.8	1390378
786000	110702	50102.5	1377926
787000	110361	50043	1367687
788000	111018	50246.2	1376840
789000	110340	49950.6	1373607
790000	110382	50107.6	1366810
791000	109696	49620.3	1366855
792000	110168	49849.4	1370158
793000	109401	49281.7	1363838
794000	109573	49597.6	1355732
795000	108686	49253.6	1342165
796000	108063	48813.5	1343009
797000	108473	49558.5	1336382
798000	107695	48986.5	1335268
799000	107990	48889.9	1347486
800000	108359	49128.1	1350047
801000	108076	48855.2	1347965
802000	107135	48247.5	1345370
803000	108320	48712.8	1366201
804000	108586	48661.6	1382839
805000	108143	48596.1	1371441
806000	108058	48582	1372625
807000	107586	48138.9	1365552
808000	107406	48156.2	1356908
809000	108134	48817.7	1363316
810000	107834	48635.1	1356239
811000	107007	48040	1356103
812000	108099	48781.9	1357658
813000	107278	48336.9	1355119
814000	107100	48140.2	1352567
815000	106928	48165.8	1354804
816000	107092	48001.8	1361521
817000	107092	48198.2	1351816
818000	107092	48242.4	1354139
819000	108065	48957	1357529
820000	106166	47850	1336307
821000	105512	47583.1	1331616
822000	105511	47735.6	1329675
823000	106204	47905.7	1347783
824000	106626	47939.4	1358521
825000	105718	47539.2	1352903
826000	106154	47724.4	1360918
827000	106145	47798.8	1360212
828000	106526	48204.5	1368007
829000	107117	48657.2	1364156
830000	106672	47962.6	1368873
831000	106739	48455.6	1361374
832000	106643	48403.3	1363254
833000	105630	47788.4	1346718
834000	105964	47916.5	1356387
835000	106131	47687.8	1364133
836000	105395	47366.5	1354952
838000	106015	47256.2	1362466
839000	105923	47035.7	1369390
840000	105359	46673.8	1365215
841000	105989	47424.1	1362669
842000	106097	47263.2	1365152
843000	105384	46998	1352281
844000	105219	47127.3	1348132
846000	106163	47292.1	1372906
847000	107447	48551.7	1369523
848000	107230	48028.4	1380514
849000	106565	47682	1377547
850000	105692	47244.2	1359856
851000	106738	47835.6	1376089
852000	106570	47746.7	1376481
854000	106663	47722.2	1383508
855000	105742	47193.5	1371624
856000	104990	46781.6	1371413
857000	106240	47391	1374337
858000	106243	47450.7	1371654
859000	104898	46563.9	1359727
860000	105404	46822.7	1372677
861000	105125	46486.9	1367457
862000	105592	46882.5	1365522
863000	105854	47114	1370779
864000	106047	46965.1	1384586
865000	105764	46956	1375947
866000	105105	46563.5	1369676
867000	105665	46788.8	1382775
868000	105665	46926.1	1375363
869000	106439	47232.1	1383713
870000	105972	46943.3	1379944
871000	104577	46244	1362853
872000	104900	46481.2	1362567
873000	106228	47278.4	1370949
874000	104227	46251.4	1348901
875000	104921	46782.1	1346917
876000	106088	47444.4	1353563
877000	104467	46633	1336800
878000	106731	47784.3	1362944
880000	105600	47002.5	1367496
881000	106584	47249.8	1382346
882000	105477	46867.3	1365701
883000	105216	46689.7	1361879
884000	104874	46741.8	1357204
885000	105102	46730.9	1363066
886000	104826	46473.3	1364986
887000	104820	46832.9	1360064
888000	104945	46937.2	1359915
889000	104328	46736.5	1348007
890000	104256	46646.9	1344223
891000	104173	46553.3	1348480
892000	105623	47310	1368668
894000	104907	47147.3	1346999
895000	104993	47097.3	1354581
896000	104911	46958.9	1353692
897000	104761	46769.6	1354773
898000	104687	46537.3	1355045
899000	104962	46603.3	1365622
900000	104336	46452.8	1359238
901000	104935	46696.9	1363508
902000	104925	46548	1369190
903000	104938	46168.1	1375122
904000	105696	47111	1372028
905000	105291	46635.1	1379424
906000	105644	47276.4	1368384
907000	105331	46718.1	1372462
908000	104806	46437.8	1366375
909000	104764	46213.6	1379594
910000	104559	46635.3	1362187
911000	104034	46289.8	1356084
912000	104144	46259.8	1354512
